m,k,n,tile_m,tile_k_l2,tile_k_l1,tile_n,runner latency
1024,1024,1024,128,16,8,32,1731.45
1024,1024,1024,128,16,8,64,1152.45
1024,1024,1024,128,16,8,128,635.95
1024,1024,1024,128,16,16,16,3410.65
1024,1024,1024,128,16,16,32,2075.45
1024,1024,1024,128,16,16,64,1105.8
1024,1024,1024,128,16,16,128,0.0
1024,1024,1024,128,32,8,16,2656.2
1024,1024,1024,128,32,8,32,1559.25
1024,1024,1024,128,32,8,64,748.75
1024,1024,1024,128,32,8,128,450.2
1024,1024,1024,128,32,16,16,2075.9
1024,1024,1024,128,32,16,32,1298.9
1024,1024,1024,128,32,16,64,823.7
1024,1024,1024,128,32,16,128,351.25
1024,1024,1024,128,32,32,16,1902.9
1024,1024,1024,128,32,32,32,1188.4
1024,1024,1024,128,32,32,64,513.2
1024,1024,1024,128,64,8,16,2387.95
1024,1024,1024,128,64,8,32,1599.75
1024,1024,1024,128,64,8,64,997.9
1024,1024,1024,128,64,8,128,448.1
1024,1024,1024,128,64,16,16,1635.7
1024,1024,1024,128,64,16,32,989.95
1024,1024,1024,128,64,16,64,529.8
1024,1024,1024,128,64,16,128,300.95
1024,1024,1024,128,64,32,16,1421.6
1024,1024,1024,128,64,32,32,906.3
1024,1024,1024,128,64,32,64,373.25
1024,1024,1024,128,64,64,16,901.65
1024,1024,1024,128,64,64,32,628.05
1024,1024,1024,128,128,8,16,2758.35
1024,1024,1024,128,128,8,32,1493.4
1024,1024,1024,128,128,8,64,1003.1
1024,1024,1024,128,128,8,128,452.5
1024,1024,1024,128,128,16,16,1397.9
1024,1024,1024,128,128,16,32,1086.25
1024,1024,1024,128,128,16,64,446.1
1024,1024,1024,128,128,16,128,386.05
1024,1024,1024,128,128,32,16,1439.45
1024,1024,1024,128,128,32,32,602.55
1024,1024,1024,128,128,32,64,382.6
1024,1024,1024,128,128,64,16,1299.75
1024,1024,1024,128,128,64,32,855.4
1024,1024,1024,128,256,8,16,0.0
1024,1024,1024,128,256,8,32,0.0
1024,1024,1024,128,256,8,64,1055.4
1024,1024,1024,128,256,8,128,466.75
1024,1024,1024,128,256,16,16,1696.3
1024,1024,1024,128,256,16,32,905.9
1024,1024,1024,128,256,16,64,427.5
1024,1024,1024,128,256,16,128,303.7
1024,1024,1024,128,256,32,16,1189.6
1024,1024,1024,128,256,32,32,737.05
1024,1024,1024,128,256,32,64,361.45
1024,1024,1024,128,256,64,16,1121.6
1024,1024,1024,128,256,64,32,587.9
1024,1024,1024,128,512,8,16,2786.65
1024,1024,1024,128,512,8,32,1542.3
1024,1024,1024,128,512,8,64,730.5
1024,1024,1024,128,512,8,128,466.45
1024,1024,1024,128,512,16,16,1792.3
1024,1024,1024,128,512,16,32,1121.85
1024,1024,1024,128,512,16,64,453.25
1024,1024,1024,128,512,16,128,304.05
1024,1024,1024,128,512,32,16,881.65
1024,1024,1024,128,512,32,32,532.25
1024,1024,1024,128,512,32,64,317.6
1024,1024,1024,128,512,64,16,741.2
1024,1024,1024,128,512,64,32,0.0
1024,1024,1024,128,1024,8,16,3092.1
1024,1024,1024,128,1024,8,32,1909.55
1024,1024,1024,128,1024,8,64,1004.05
1024,1024,1024,128,1024,8,128,488.55
1024,1024,1024,128,1024,16,16,1889.85
1024,1024,1024,128,1024,16,32,1357.5
1024,1024,1024,128,1024,16,64,905.25
1024,1024,1024,128,1024,16,128,365.45
1024,1024,1024,128,1024,32,16,1414.25
1024,1024,1024,128,1024,32,32,969.8
1024,1024,1024,128,1024,32,64,415.05
1024,1024,1024,128,1024,64,16,863.65
1024,1024,1024,128,1024,64,32,608.7
